Dataest,Approach,Nominal,,,,,,Corrupted,,,,,
,,ATRC,RAUC-100,RAUC-200,RAUC-500,RAUC-1000,RAUC-all,ATRC,RAUC-100,RAUC-200,RAUC-500,RAUC-1000,RAUC-all
,PRIMA,0.800986776,0.737684211,0.801900925,0.851513739,0.860673528,0.850780633,0.811311473,0.813346325,0.843302946,0.834861518,0.807417314,0.813806554
,TestRank,0.754610888,0.795244927,0.819560443,0.844260804,0.807154432,0.804674279,0.795580576,0.799182279,0.813451712,0.823987626,0.828352907,0.801135842
,CertPri,0.791980477,0.853367493,0.835705251,0.808267237,0.818493144,0.813556945,0.822942287,0.836191869,0.834389177,0.851287852,0.830356076,0.837609601
,TDPR,0.824860616,0.854521368,0.860277142,0.854004902,0.878038422,0.868001476,0.864734934,0.887787532,0.870518661,0.858742719,0.850255116,0.877192332
IMDB,LSA,0.349432668,0.442473112,0.424889081,0.431265829,0.464472345,0.415594382,0.463418034,0.491903298,0.503825912,0.471010506,0.483197898,0.528511967
,DSA,0.416985851,0.491589689,0.468890817,0.463467832,0.453462423,0.445530851,0.517341213,0.531668742,0.543882494,0.590521265,0.555642433,0.584987332
,MCP,0.492108842,0.529186536,0.546139441,0.564362047,0.520724098,0.519681128,0.492219089,0.612670449,0.614889612,0.632304328,0.619158889,0.607362433
,Deepgini,0.550304647,0.609672462,0.636054675,0.649796283,0.631822528,0.634521857,0.577429567,0.641668742,0.643732615,0.620672312,0.655832859,0.654644234
,PRIMA,0.576526978,0.634371108,0.664459821,0.654048798,0.678509839,0.667614854,0.617169124,0.669117701,0.671340541,0.694542057,0.666274138,0.674570991
,TestRank,0.528420225,0.596914446,0.617634624,0.659206861,0.672519317,0.653023309,0.593931611,0.624396184,0.678590125,0.651657584,0.651865818,0.663707761
,CertPri,0.556985851,0.649672462,0.635782316,0.633040174,0.638240977,0.644960039,0.599874629,0.654530957,0.669141726,0.683210076,0.658330459,0.653518523
,TDPR,0.610341956,0.704524366,0.720333536,0.688330794,0.681638009,0.685303799,0.655289626,0.692688834,0.702251575,0.713987552,0.684568003,0.706989553
SMS,LSA,0.364587621,0.554347826,0.514809188,0.539422598,0.518279255,0.514808428,0.424562424,0.574631223,0.595426421,0.521075561,0.531235432,0.564245431
,DSA,0.413123423,0.628378378,0.571552849,0.580716214,0.610738942,0.594841972,0.452784312,0.623875432,0.646272132,0.652321323,0.651542765,0.624213242
,MCP,0.443614419,0.597087686,0.624960254,0.646575061,0.627222791,0.610620673,0.483614419,0.640890799,0.665328545,0.630897551,0.621564533,0.645031232
,Deepgini,0.492513289,0.668708522,0.686407534,0.713709766,0.734192092,0.713776336,0.552312213,0.684647978,0.700423287,0.703921212,0.710452321,0.724214316
,PRIMA,0.522642343,0.691052632,0.739966896,0.727726462,0.744520112,0.737898778,0.592518989,0.714893721,0.720478962,0.723813214,0.730248956,0.744532142
,TestRank,0.472177001,0.647869062,0.689293673,0.714376044,0.724121828,0.686025199,0.521727001,0.681687565,0.699714824,0.685269898,0.696200424,0.674315109
,CertPri,0.514960147,0.666906197,0.719456123,0.744245673,0.711218281,0.720251994,0.574960147,0.709162027,0.717452098,0.712326576,0.721199723,0.726206881
,TDPR,0.570177242,0.691304348,0.753171308,0.772731152,0.785421907,0.758559464,0.640177242,0.756928226,0.774948889,0.749556433,0.788869463,0.784265363
